Index,Time,((pitch_motor)->motor_measure).total_angle,((pitch_motor)->motor_controller).pid_ref
3145,31.450442,327.785767,364.165222
3146,31.460144,328.40097,364.495209
3147,31.470411,329.235931,365.155182
3148,31.480267,329.939056,365.815155
3149,31.490095,330.642181,366.475128
3150,31.500173,331.389252,367.135101
3151,31.510435,332.224182,368.125061
3152,31.520393,332.883362,368.455048
3153,31.530261,333.498596,369.115021
3154,31.540096,334.113831,369.774994
3155,31.550366,334.77301,370.434967
3156,31.560470,335.344299,371.424927
3157,31.570317,335.959534,371.754913
3158,31.580274,336.398987,372.414886
3159,31.590136,336.970245,373.07486
3160,31.600398,337.58548,373.734833
3161,31.610273,338.156769,374.394806
3162,31.620345,338.772003,375.054779
3163,31.630188,339.387238,375.714752
3164,31.640143,340.046417,376.374725
3165,31.650486,340.793457,377.364685
3166,31.660378,341.452637,377.694672
3167,31.670222,342.067871,378.354645
3168,31.680314,342.814941,379.014618
3169,31.690148,343.38623,379.674591
3170,31.700421,344.133301,380.334564
3171,31.710381,344.748535,380.994537
3172,31.720252,345.363739,381.65451
3173,31.730114,346.066864,382.314484
3174,31.740228,346.682098,382.974457
3175,31.750491,347.517059,383.964417
3176,31.760315,348.308075,384.294403
3177,31.770273,348.923309,384.954376
3178,31.780128,349.714294,385.614349
3179,31.790210,350.417419,386.274323
3180,31.800481,351.25238,387.264282
3181,31.810331,351.955505,387.594269
3182,31.820169,352.482849,388.254242
3183,31.830124,353.142029,388.914215
3184,31.840412,353.757233,389.574188
3185,31.850488,354.284576,390.564148
3186,31.860333,354.855865,390.894135
3187,31.870142,355.339264,391.554108
3188,31.880425,355.998444,392.214081
3189,31.890512,356.569733,393.204041
3190,31.900226,357.097076,393.534027
3191,31.910316,357.800201,394.194
3192,31.920187,358.327515,394.853973
3193,31.930238,358.986694,395.513947
3194,31.940095,359.645874,396.17392
3195,31.950189,360.351562,396.833893
3196,31.960133,361.054687,397.493866
3197,31.970494,361.801758,398.483826
3198,31.980348,362.460907,398.813812
3199,31.990200,363.120087,399.473785
3200,32.000468,363.867157,400.463745
3201,32.010293,364.394501,400.793732
3202,32.020503,365.141571,401.783691
3203,32.030365,365.844696,402.113678
3204,32.040209,366.503845,402.773651
3205,32.050471,367.294861,403.763611
3206,32.060296,367.997986,404.093597
3207,32.070143,368.701111,404.753571
3208,32.080341,369.448181,405.413544
3209,32.090193,370.063416,406.073517
3210,32.100479,370.722595,407.063477
3211,32.110323,371.293854,407.393463
3212,32.120180,371.865143,408.053436
3213,32.130250,372.392487,408.713409
